2011,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$298.185,80","R$308.132,30","R$300.011,30","R$296.100,60","R$329.796,30","R$310.187,60","R$327.806,19","R$346.058,93","R$314.287,26","R$285.456,90","R$277.209,10","R$308.245,00"
Icaraí,"R$267.956,00","R$260.378,20","R$246.373,90","R$246.473,10","R$274.515,40","R$261.230,13","R$280.984,13","R$295.880,53","R$266.214,76","R$249.907,18","R$245.405,23","R$308.669,59"
Valonguinho,"R$71.305,26","R$82.864,00","R$70.578,40","R$85.525,60","R$84.641,80","R$74.266,23","R$79.162,97","R$87.195,60","R$87.177,80","R$85.741,20","R$92.684,80","R$105.707,40"
Barcas,"R$61.583,00","R$61.418,00","R$65.498,60","R$56.550,00","R$59.307,80","R$55.512,60","R$55.350,40","R$60.433,50","R$59.717,80","R$63.308,85","R$63.027,40","R$60.969,20"
Total,"R$699.030,06","R$712.792,50","R$682.462,20","R$684.649,30","R$748.261,30","R$701.196,56","R$743.303,69","R$789.568,56","R$727.397,62","R$684.414,13","R$678.326,53","R$783.591,19"
2012,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$288.666,00","R$245.390,00","R$297.026,00","R$283.051,00","R$318.460,00","R$286.891,00","R$327.327,00","R$346.917,00","R$299.989,00","R$320.834,00","R$277.805,00","R$598.639,00"
Icaraí,"R$269.059,00","R$210.174,00","R$235.322,00","R$210.973,00","R$216.721,00","R$196.274,00","R$231.469,00","R$245.213,00","R$206.479,00","R$227.018,00","R$190.816,00","R$417.834,00"
Valonguinho,"R$148.400,40","R$152.231,80","R$194.587,40","R$177.022,60","R$173.177,70","R$156.316,20","R$164.877,70","R$163.966,50","R$143.535,90","R$168.841,25","R$160.816,80","R$329.658,05"
Total,"R$706.125,40","R$607.795,80","R$726.935,40","R$671.046,60","R$708.358,70","R$639.481,20","R$723.673,70","R$756.096,50","R$650.003,90","R$716.693,25","R$629.437,80","R$1.346.131,05"
2013,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$324.804,00","R$324.804,00","R$322.410,00","R$331.736,00","R$391.233,00","R$356.796,00","R$414.741,00","R$423.441,00","R$394.482,00","R$412.833,00","R$347.457,00","R$361.755,00"
Icaraí,"R$236.656,00","R$236.656,00","R$224.694,00","R$232.235,00","R$281.016,00","R$256.293,00","R$293.859,00","R$298.755,00","R$281.015,00","R$298.191,00","R$242.718,00","R$298.632,00"
Valonguinho,"R$169.705,55","R$169.705,55","R$166.441,80","R$175.053,20","R$163.401,60","R$158.572,70","R$170.613,30","R$189.132,65","R$167.167,00","R$118.618,50","R$115.192,00","R$139.258,50"
S. Francisco,"R$0,00","R$0,00","R$0,00","R$0,00","R$31.692,00","R$96.846,00","R$110.595,00","R$109.560,00","R$109.512,00","R$103.791,00","R$100.617,00","R$107.974,40"
Araribóia,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$64.603,00","R$68.947,00","R$62.686,50"
Total,"R$731.165,55","R$731.165,55","R$713.545,80","R$739.024,20","R$867.342,60","R$868.507,70","R$989.808,30","R$1.020.888,65","R$952.176,00","R$998.036,50","R$874.931,00","R$970.306,40"
2014,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$370.209,00","R$357.528,00","R$335.265,00","R$344.397,00","R$397.389,00","R$331.344,00","R$412.962,00","R$415.818,00","R$433.830,00","R$432.777,00","R$371.877,00","R$450.187,50"
Icaraí,"R$280.314,00","R$257.556,00","R$231.315,00","R$235.644,00","R$275.001,00","R$239.289,00","R$299.226,00","R$296.595,00","R$308.841,00","R$318.147,00","R$262.863,00","R$319.896,00"
Valonguinho,"R$107.315,00","R$104.145,00","R$124.146,50","R$100.910,00","R$183.306,50","R$88.753,00","R$99.881,00","R$102.499,50","R$171.408,50","R$176.203,00","R$103.680,50","R$113.604,00"
S. Francisco,"R$112.227,00","R$96.993,00","R$81.462,00","R$80.100,00","R$89.148,00","R$90.999,00","R$95.691,00","R$99.831,00","R$86.126,00","R$85.797,00","R$101.970,00","R$109.203,00"
Araribóia,"R$51.285,10","R$63.926,00","R$55.563,00","R$58.920,00",NF,"R$54.282,50","R$70.187,50","R$68.052,50","R$0,00","R$0,00","R$65.570,50","R$69.757,50"
Total,"R$921.350,10","R$880.148,00","R$827.751,50","R$819.971,00","R$944.844,50","R$804.667,50","R$977.947,50","R$982.796,00","R$1.000.205,50","R$1.012.924,00","R$905.961,00","R$1.062.648,00"
2015,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$406.266,00","R$325.086,00","R$428.592,00","R$371.697,00","R$399.216,00","R$399.147,00","R$438.957,00","R$442.116,00","R$434.415,00","R$470.063,00","R$439.572,00","R$519.745,80"
Icaraí,"R$287.325,00","R$224.049,00","R$294.048,00","R$247.154,00","R$270.996,00","R$263.553,00","R$309.348,00","R$292.548,00","R$296.454,00","R$317.380,00","R$293.034,00","R$357.192,50"
Valonguinho,"R$91.147,00","R$277.985,05","R$117.623,00","R$98.294,00","R$108.331,00","R$103.340,50","R$106.190,50","R$109.585,50","R$105.861,00","R$117.994,00","R$119.991,00","R$155.555,00"
S. Domingos,"R$0,00","R$0,00","R$0,00","R$0,00","R$19.452,00","R$41.209,00","R$44.020,00","R$39.268,00","R$31.486,00","R$33.907,00","R$29.484,00","R$29.648,50"
S. Francisco,"R$109.029,00","R$85.686,00","R$107.946,00","R$103.191,00","R$107.349,00","R$102.747,00","R$105.624,00","R$116.397,00","R$99.516,00","R$127.927,00","R$132.576,50","R$140.703,50"
Araribóia,"R$58.436,50","R$127.060,14","R$74.595,50","R$60.641,00","R$73.037,50","R$69.199,50","R$76.790,00","R$74.353,50","R$79.165,00","R$76.797,50","R$77.900,00","R$77.855,00"
Total,"R$952.203,50","R$1.039.866,19","R$1.022.804,50","R$880.977,00","R$978.381,50","R$979.196,00","R$1.080.929,50","R$1.074.268,00","R$1.046.897,00","R$1.144.068,50","R$1.092.557,50","R$1.280.700,30"
2016,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Centro,"R$437.346,00","R$399.828,00","R$507.573,50","R$476.450,00","R$506.201,50","R$511.878,50","R$521.213,00","R$558.852,00","R$546.566,50","R$514.448,00","R$530.824,00","R$660.143,00"
Icaraí,"R$295.225,00","R$259.321,00","R$317.114,00","R$298.718,00","R$316.738,50","R$323.302,00","R$330.347,50","R$339.668,00","R$316.743,00","R$303.583,00","R$298.452,00","R$372.585,50"
Valonguinho,"R$93.334,00","R$108.014,00","R$120.328,00","R$101.584,00","R$109.199,00","R$109.804,00","R$104.109,00","R$157.400,00","R$94.935,00","R$93.310,00","R$94.459,00","R$109.690,00"
S. Domingos,"R$22.603,00","R$20.475,00","R$27.009,50","R$24.678,50","R$26.005,00","R$37.681,00","R$33.715,50","R$47.271,00","R$69.597,50","R$67.154,50","R$49.317,50","R$62.534,50"
S. Francisco,"R$135.250,50","R$113.088,50","R$121.891,00","R$137.809,00","R$134.512,00","R$126.966,00","R$139.664,00","R$133.980,00","R$135.194,50","R$149.793,00","R$161.224,00","R$180.075,00"
Araribóia,"R$70.240,00","R$61.235,00","R$81.205,00","R$74.154,00","R$72.795,00","R$72.860,00","R$72.730,00","R$76.320,00","R$63.190,00","R$60.125,00","R$63.850,00","R$68.315,00"
J. Icaraí,"R$0,00","R$0,00","R$46.987,50","R$73.542,00","R$84.675,50","R$84.493,50","R$84.952,00","R$82.708,50","R$79.506,00","R$82.463,50","R$78.232,00","R$95.616,50"
Itacoatiara,"R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$89.780,00"
Total,"R$1.053.998,50","R$961.961,50","R$1.222.108,50","R$1.186.935,50","R$1.250.126,50","R$1.266.985,00","R$1.286.731,00","R$1.396.199,50","R$1.305.732,50","R$1.270.877,00","R$1.276.358,50","R$1.638.739,50"